ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,Total_Length
454,45,41,Location 45 - Location 8,2,1,8,90970.767625166379730
455,58,42,Location 58 - Location 8,2,1,8,99400.066218581428984
456,59,43,Location 59 - Location 8,2,1,8,99400.066218581428984
457,60,44,Location 60 - Location 8,2,1,8,99400.066218581428984
458,19,45,Location 19 - Location 8,2,2,8,99481.898741383760353
459,15,46,Location 15 - Location 8,2,2,8,102513.574652375536971
460,16,47,Location 16 - Location 8,2,2,8,102528.142379889337462
461,14,48,Location 14 - Location 8,2,2,8,102558.566522307883133
462,55,49,Location 55 - Location 8,2,2,8,104544.047509070180240
463,56,50,Location 56 - Location 8,2,1,8,117482.006090638533351
464,30,51,Location 30 - Location 8,1,2,8,130694.420014551855274
465,62,52,Location 62 - Location 8,1,1,8,210306.451356911915354
466,33,53,Location 33 - Location 8,1,1,8,214046.446127800387330
467,37,54,Location 37 - Location 8,1,1,8,215870.733011120435549
468,34,55,Location 34 - Location 8,1,1,8,215999.695710640720790
469,35,56,Location 35 - Location 8,1,1,8,215999.695710640720790
470,36,57,Location 36 - Location 8,1,1,8,215999.695710640720790
471,38,58,Location 38 - Location 8,1,1,8,228617.369559886195930
472,61,59,Location 61 - Location 8,1,1,8,229003.945519865665119
473,9,1,Location 9 - Location 9,1,1,9,0.000000000000000
474,10,2,Location 10 - Location 9,1,1,9,0.000000000000000
475,11,3,Location 11 - Location 9,2,1,9,5.698992784665932
476,13,4,Location 13 - Location 9,2,1,9,7329.622731228481825
477,12,5,Location 12 - Location 9,2,1,9,7344.193151711743667
478,25,6,Location 25 - Location 9,2,2,9,52654.847098061472934
479,23,7,Location 23 - Location 9,2,1,9,52689.993318678229116
480,24,8,Location 24 - Location 9,2,1,9,52689.993318678229116
481,26,9,Location 26 - Location 9,2,1,9,52738.827839157864219
482,20,10,Location 20 - Location 9,2,2,9,53872.262919960572617
483,1,11,Location 1 - Location 9,2,2,9,59371.275709852496220
484,17,12,Location 17 - Location 9,2,2,9,66330.538180197429028
485,18,13,Location 18 - Location 9,2,2,9,66330.538180197429028
486,21,14,Location 21 - Location 9,2,2,9,66432.364646887508570
487,22,15,Location 22 - Location 9,2,2,9,66432.364646887508570
488,43,16,Location 43 - Location 9,2,1,9,80011.380413878738182
489,7,17,Location 7 - Location 9,2,2,9,82315.573378011147724
